#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Kung Fu Panda 4,English,English,3D,RealD,2K,5.1,2.39:1,2.39:1,2024.01.03,2024.01.04,"TDI Jagat, Chandigarh, India",,
,Ghostbusters: Frozen Empire,English,English,2D,,2K,5.1,2.39:1,2.39:1,2024.01.04,2024.01.05,"TDI Jagat, Chandigarh, India",,
,Godzilla x Kong: The New Empire,English,English,3D,IMAX,2K,5.1,2.39:1,2.39:1,2024.01.05,2024.01.06,"Logix City Center, Noida",,
,Civil War,English,English,2D,,2K,5.1,2.39:1,1.85:1,2024.01.06,2024.01.07,"TDI Jagat, Chandigarh, India",,
,Crew,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,2024.01.07,2024.01.08,"TDI Jagat, Chandigarh, India",,
,The Fall Guy,English,English,2D,,2K,5.1,2.39:1,2.39:1,2024.01.08,2024.01.09,"Centra Mall, Chandigarh, India",,
,Kingdom of the Planet of the Apes,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,2024.01.09,2024.01.10,"TDI Jagat, Chandigarh, India",,
,Furiosa,Hindi,None,2D,4DX,2K,5.1,2.39:1,2.39:1,2024.01.10,2024.01.11,"Elante Mall, Chandigarh, India",,
,IF,English,English,2D,,2K,5.1,2.39:1,1.85:1,2024.01.11,2024.01.12,"Elante Mall, Chandigarh, India",,
,The Garfield Movie,Hindi,None,3D,RealD,2K,5.1,2.39:1,1.85:1,2024.01.12,2024.01.13,"TDI Jagat, Chandigarh, India",,
,Shaitaan,Hindi,None,2D,Atmos,2K,5.1,2.39:1,2.39:1,2024.01.13,2024.01.14,"Raj Mandir, Jaipur",Raj Mandir,Jaipur
,Fighter,Hindi,None,3D,RealD,2K,5.1,2.39:1,2.39:1,2024.01.14,2024.01.15,"TDI Jagat, Chandigarh, India",,
,Crakk,Hindi,None,2D,LUXE,2K,5.1,2.39:1,2.39:1,2024.01.15,2024.01.16,"CP67 Mall, Mohali",,
,The Boy And The Heron,English,English,2D,,2K,5.1,2.39:1,1.85:1,2024.01.18,2024.01.19,"TDI Jagat, Chandigarh, India",,
,Zindagi Na Milegi Dobara,Hindi ,None,2D,,2K,5.1,2.39:1,2.39:1,2011.07.15,2024.06.01,"Elante Mall, Chandigarh, India",,
,Munjya,Hindi,None,2D,Atmos,2K,5.1,2.39:1,2.39:1,,2024.06.18,"Vishal Mall, Rajouri Garden, Delhi",,
,Inside Out 2,English,English,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,,2024.06.18,"Vishal Mall, Rajouri Garden, Delhi",,
,Kalki 2898 AD,Hindi,None,3D,RealD,2K,5.1,2.39:1,2.39:1,2024.01.20,2024.01.21,"TDI Jagat, Chandigarh, India",,
,A Quiet Place Day One,English,None,2D,,2K,5.1,2.39:1,2.39:1,2024.06.28,2024.07.01,"TDI Jagat, Chandigarh, India",2,G5
,Kill,Hindi,English,2D,,2K,5.1,2.39:1,2.39:1,2024.07.05,2024.07.06,"Centra Mall, Chandigarh, India",,
,Despicable Me 4,English,English,3D,RealD,2K,5.1,2.39:1,1.85:1,2024.07.05,2024.07.11,"TDI Jagat, Chandigarh, India",,
,Devara: Part 1,Hindi,None,2D,IMAX,2K,5.1,2.39:1,2.39:1,,,,,
,Longlegs,English,None,2D,,2K,5.1,2.39:1,2.39:1,2024.07.12,2024.07.13,"TDI Jagat, Chandigarh, India",,
,Kalki 2898 AD,Hindi,None,3D,P[XL]; RealD; Atmos,2K,5.1,1.85:1,2.39:1,2024.06.28,2024.07.18,"TDI Jagat, Chandigarh, India",,
,Twsiters,English,English,2D,ICE,2K,5.1,2.39:1,2.39:1,2024.07.18,2024.07.25,"DLF Promenade, Delhi",,
,Deadpool And Wolverine,English,English,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2024.07.26,2024.07.26,"Select Citywalk,Saket, Delhi",,
,Deadpool And Wolverine,Hindi,None,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,2024.07.26,2024.08.01,"TDI Jagat, Chandigarh, India",,
,Partner,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,2007.07.20,2024.08.03,"Elante Mall, Chandigarh, India",,
,Uljah,Hindi,None,2D,P[XL]; 4K,2K,5.1,1.85:1,1.85:1,2024.08.02,2024.08.05,"CP67 Mall, Mohali",,
