#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Transformers Rise of the Beasts,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,8-Jun-23,25-Jun-23,"TDI Jagat, Chandigarh, India",,
,Mission Impossible: Dead Reckoning - Part One,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,12-Jul-23,12-Jul-23,"Centra Mall, Chandigarh, India",,
,Oppenheimer,English,,2D,,2K,5.1,2.39:1,2.20:1,21-Jul-23,21-Jul-23,"Elante Mall, Chandigarh, India",,
,Barbie,English,,2D,,2K,5.1,2.39:1,2.00:1,21-Jul-23,,"Centra Mall, Chandigarh, India",,
,Blue Beetle,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,18-Aug-23,,"DLF Centre Mall, Chandigarh, India",,
,Koi… Mil Gaya,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,4-Aug-23,5-Aug-23,"Elante Mall, Chandigarh, India",7,
,Rocki Aur Rani Kii Prem Kahaani,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,28-Jul-23,6-Aug-23,"Piccadily Square Mall, Chandigarh, India",,
,Koi… Mil Gaya,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,4-Aug-23,10-Aug-23,"Elante Mall, Chandigarh, India",7,
,OMG 2,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,11-Aug-23,15-Aug-23,"Elante Mall, Chandigarh, India",3,
,Teenage Mutant Ninja Turtles: Mutant Mayhem,English,,3D,,2K,5.1,2.39:1,2.39:1,1-Sep-23,2-Sep-23,"TDI Jagat, Chandigarh, India",,
,Jawan,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,7-Sep-23,7-Sep-23,"Elante Mall, Chandigarh, India",3,
,The Nun 2,English,,2D,,2K,5.1,2.39:1,2.39:1,7-Sep-23,24-Sep-23,"TDI Jagat, Chandigarh, India",,
,The Creator,English,,2D,ScreenX,2K,5.1,2.39:1,2.39:1,29-Sep-23,30-Sep-23,"Pacific Outlet Mall, Jasola, Delhi",,
,Spider-Man Across The Spider-Verse,English,,2D,,2K,5.1,2.39:1,2.39:1,1-Jun-23,10-Oct-23,"Bestech Square Mall, Mohali",,
,The Exorcist: Beliver,English,,2D,IMAX with Laser,2K,5.1,2.39:1,1.85:1,6-Oct-33,13-Oct-23,"Priya Cinema, Vasant Vihar, Delhi",,
,Gravity,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,13-Oct-23,13-Oct-23,"Priya Cinema, Vasant Vihar, Delhi",,
,Gran Turismo,English,,2D,,2K,5.1,2.39:1,1.85:1,25-Aug-23,27-Aug-23,"TDI Jagat, Chandigarh, India",,
,Killers of the Flower Moon,English,,2D,P[XL],2K,5.1,2.39:1,2.39:1,27-Oct-23,2-Nov-23,"CP67 Mall, Mohali",,
